OrderID,OrderDate,CustomerID,ProductID,Quantity,TotalAmount,PaymentMethod,
ORD1000,8/21/2025,CUST185,PROD221,1,429.51,PayPal,
ORD1001,8/24/2025,CUST197,PROD204,4,463.89,Debit Card,
ORD1002,7/21/2025,CUST172,PROD211,3,495.65,Credit Card,
ORD1003,2/15/2025,CUST132,PROD233,3,336.62,Debit Card,
ORD1004,8/20/2025,CUST145,PROD200,3,379.04,PayPal,
ORD1005,8/5/2025,CUST183,PROD202,1,30.8,Debit Card,
ORD1006,5/12/2025,CUST167,PROD205,1,481.04,Debit Card,
ORD1007,3/12/2025,CUST190,PROD237,1,279.49,Credit Card,
ORD1008,10/13/2025,CUST131,PROD242,1,140.03,PayPal,
ORD1009,12/16/2025,CUST102,PROD218,4,474.88,PayPal,
ORD1010,12/10/2025,CUST133,PROD215,1,303.38,Credit Card,
ORD1011,11/3/2025,CUST148,PROD248,1,341.88,Credit Card,
ORD1012,2/16/2025,CUST198,PROD206,1,213.83,Debit Card,
ORD1013,2/11/2025,CUST110,PROD242,4,388.85,Credit Card,
ORD1014,10/6/2025,CUST167,PROD209,1,346.23,Debit Card,
ORD1015,6/14/2025,CUST149,PROD242,1,198.12,Credit Card,
ORD1016,5/9/2025,CUST185,PROD245,1,44.38,Credit Card,
ORD1017,8/16/2025,CUST132,PROD241,3,53.22,PayPal,
ORD1018,2/2/2025,CUST147,PROD219,3,234.04,Debit Card,
ORD1019,7/13/2025,CUST183,PROD230,2,31.58,Credit Card,
ORD1020,6/12/2025,CUST150,PROD248,3,175.86,Credit Card,
ORD1021,11/20/2025,CUST102,PROD233,4,22.46,Credit Card,
ORD1022,2/18/2025,CUST105,PROD218,3,346.89,PayPal,
ORD1023,4/21/2025,CUST136,PROD213,1,373.39,Debit Card,
ORD1024,4/16/2025,CUST101,PROD231,1,255.22,Debit Card,
ORD1025,10/27/2025,CUST181,PROD237,2,215.39,Credit Card,
ORD1026,8/7/2025,CUST151,PROD208,4,464.21,Credit Card,
ORD1027,11/29/2025,CUST184,PROD200,1,369.18,Debit Card,
ORD1028,4/26/2025,CUST112,PROD230,1,330.39,Debit Card,
ORD1029,12/11/2025,CUST143,PROD239,1,110.01,PayPal,
ORD1030,11/14/2025,CUST196,PROD232,3,415.23,Credit Card,
ORD1031,9/22/2025,CUST151,PROD233,1,443.87,Debit Card,
ORD1032,11/28/2025,CUST100,PROD221,4,283.86,Credit Card,
ORD1033,3/4/2025,CUST135,PROD224,2,92.73,PayPal,
ORD1034,7/18/2025,CUST194,PROD216,3,483.82,Credit Card,
ORD1035,4/5/2025,CUST164,PROD236,4,279.57,PayPal,
ORD1036,9/1/2025,CUST164,PROD248,3,454.94,Credit Card,
ORD1037,10/29/2025,CUST194,PROD236,1,82.99,PayPal,
ORD1038,1/29/2025,CUST195,PROD213,3,58.4,PayPal,
ORD1039,8/6/2025,CUST131,PROD218,4,123.85,Debit Card,
ORD1040,9/19/2025,CUST154,PROD226,3,168.74,Debit Card,
ORD1041,6/29/2025,CUST109,PROD225,4,365.98,PayPal,
ORD1042,3/6/2025,CUST160,PROD206,2,481.47,PayPal,
ORD1043,8/19/2025,CUST105,PROD212,1,447.84,PayPal,
ORD1044,6/17/2025,CUST192,PROD201,2,100.44,Credit Card,
