OrderID,OrderDate,CustomerID,ProductID,Quantity,TotalAmount,PaymentMethod
ORD1000,00:00.0,CUST185,PROD221,1,429.51,PayPal
ORD1001,45:46.5,CUST197,PROD204,4,463.89,Debit Card
ORD1002,31:33.0,CUST172,PROD211,3,495.65,Credit Card
ORD1003,17:19.5,CUST132,PROD233,3,336.62,Debit Card
ORD1004,03:06.1,CUST145,PROD200,3,379.04,PayPal
ORD1005,48:52.6,CUST183,PROD202,1,30.8,Debit Card
ORD1006,34:39.1,CUST167,PROD205,1,481.04,Debit Card
ORD1007,20:25.6,CUST190,PROD237,1,279.49,Credit Card
ORD1008,06:12.1,CUST131,PROD242,1,140.03,PayPal
ORD1009,51:58.6,CUST102,PROD218,4,474.88,PayPal
ORD1010,37:45.2,CUST133,PROD215,1,303.38,Credit Card
ORD1011,23:31.7,CUST148,PROD248,1,341.88,Credit Card
ORD1012,09:18.2,CUST198,PROD206,1,213.83,Debit Card
ORD1013,55:04.7,CUST110,PROD242,4,388.85,Credit Card
ORD1014,40:51.2,CUST167,PROD209,1,346.23,Debit Card
ORD1015,26:37.7,CUST149,PROD242,1,198.12,Credit Card
ORD1016,12:24.2,CUST185,PROD245,1,44.38,Credit Card
ORD1017,58:10.8,CUST132,PROD241,3,53.22,PayPal
ORD1018,43:57.3,CUST147,PROD219,3,234.04,Debit Card
ORD1019,29:43.8,CUST183,PROD230,2,31.58,Credit Card
ORD1020,15:30.3,CUST150,PROD248,3,175.86,Credit Card
ORD1021,01:16.8,CUST102,PROD233,4,22.46,Credit Card
ORD1022,47:03.3,CUST105,PROD218,3,346.89,PayPal
ORD1023,32:49.9,CUST136,PROD213,1,373.39,Debit Card
ORD1024,18:36.4,CUST101,PROD231,1,255.22,Debit Card
ORD1025,04:22.9,CUST181,PROD237,2,215.39,Credit Card
ORD1026,50:09.4,CUST151,PROD208,4,464.21,Credit Card
ORD1027,35:55.9,CUST184,PROD200,1,369.18,Debit Card
ORD1028,21:42.4,CUST112,PROD230,1,330.39,Debit Card
ORD1029,07:28.9,CUST143,PROD239,1,110.01,PayPal
ORD1030,53:15.5,CUST196,PROD232,3,415.23,Credit Card
ORD1031,39:02.0,CUST151,PROD233,1,443.87,Debit Card
ORD1032,24:48.5,CUST100,PROD221,4,283.86,Credit Card
ORD1033,10:35.0,CUST135,PROD224,2,92.73,PayPal
ORD1034,56:21.5,CUST194,PROD216,3,483.82,Credit Card
ORD1035,42:08.0,CUST164,PROD236,4,279.57,PayPal
ORD1036,27:54.6,CUST164,PROD248,3,454.94,Credit Card
ORD1037,13:41.1,CUST194,PROD236,1,82.99,PayPal
ORD1038,59:27.6,CUST195,PROD213,3,58.4,PayPal
ORD1039,45:14.1,CUST131,PROD218,4,123.85,Debit Card
ORD1040,31:00.6,CUST154,PROD226,3,168.74,Debit Card
ORD1041,16:47.1,CUST109,PROD225,4,365.98,PayPal
ORD1042,02:33.7,CUST160,PROD206,2,481.47,PayPal
ORD1043,48:20.2,CUST105,PROD212,1,447.84,PayPal
ORD1044,34:06.7,CUST192,PROD201,2,100.44,Credit Card
ORD1045,19:53.2,CUST164,PROD226,4,220.19,Credit Card
ORD1046,05:39.7,CUST175,PROD240,1,340.72,Credit Card
ORD1047,51:26.2,CUST178,PROD241,3,445.24,PayPal
ORD1048,37:12.7,CUST106,PROD227,1,341.97,Credit Card
ORD1049,22:59.3,CUST120,PROD214,4,451.39,Credit Card
ORD1050,08:45.8,CUST109,PROD245,3,301.2,Debit Card
ORD1051,54:32.3,CUST149,PROD233,4,69.63,Credit Card
ORD1052,40:18.8,CUST110,PROD205,2,441.97,Credit Card
ORD1053,26:05.3,CUST193,PROD234,4,495.71,Credit Card
ORD1054,11:51.8,CUST197,PROD212,3,341.6,PayPal
ORD1055,57:38.4,CUST120,PROD215,2,461.6,PayPal
ORD1056,43:24.9,CUST151,PROD242,4,160.51,Debit Card
ORD1057,29:11.4,CUST190,PROD249,1,122.53,PayPal
ORD1058,14:57.9,CUST158,PROD209,3,95.74,PayPal
ORD1059,00:44.4,CUST139,PROD214,3,416.38,Credit Card
ORD1060,46:30.9,CUST125,PROD218,3,382.38,Credit Card
ORD1061,32:17.4,CUST138,PROD250,3,471.08,PayPal
ORD1062,18:04.0,CUST169,PROD206,3,230.27,Credit Card
ORD1063,03:50.5,CUST108,PROD210,4,78.81,Credit Card
ORD1064,49:37.0,CUST115,PROD201,1,180.18,Debit Card
ORD1065,35:23.5,CUST162,PROD242,3,58.07,Debit Card
ORD1066,21:10.0,CUST199,PROD211,4,284.68,PayPal
ORD1067,06:56.5,CUST120,PROD231,2,387.3,Debit Card
ORD1068,52:43.1,CUST192,PROD209,3,247.14,Credit Card
ORD1069,38:29.6,CUST152,PROD221,4,299.72,PayPal
ORD1070,24:16.1,CUST130,PROD232,2,293.93,Debit Card
ORD1071,10:02.6,CUST133,PROD242,2,316.57,Credit Card
ORD1072,55:49.1,CUST116,PROD225,1,306.44,Debit Card
ORD1073,41:35.6,CUST144,PROD229,1,418.56,PayPal
ORD1074,27:22.1,CUST132,PROD224,1,101.85,Debit Card
ORD1075,13:08.7,CUST177,PROD229,1,386.97,Credit Card
ORD1076,58:55.2,CUST116,PROD206,4,46.31,PayPal
ORD1077,44:41.7,CUST162,PROD229,2,356.41,Debit Card
ORD1078,30:28.2,CUST189,PROD225,4,91.25,Credit Card
ORD1079,16:14.7,CUST146,PROD230,3,399.76,Debit Card
ORD1080,02:01.2,CUST163,PROD236,3,440.54,PayPal
ORD1081,47:47.8,CUST158,PROD223,4,314.6,Debit Card
ORD1082,33:34.3,CUST112,PROD215,1,154.76,PayPal
ORD1083,19:20.8,CUST142,PROD213,2,32.05,Credit Card
ORD1084,05:07.3,CUST146,PROD201,4,483.08,Debit Card
ORD1085,50:53.8,CUST190,PROD247,4,105.08,Credit Card
ORD1086,36:40.3,CUST197,PROD223,3,303.4,PayPal
ORD1087,22:26.8,CUST171,PROD216,2,435.23,Debit Card
ORD1088,08:13.4,CUST106,PROD240,4,370.55,Credit Card
ORD1089,53:59.9,CUST169,PROD232,2,56.36,Debit Card
ORD1090,39:46.4,CUST100,PROD240,4,129.54,PayPal
