OrderID	OrderDate	CustomerID	ProductID	Quantity	TotalAmount	PaymentMethod
ORD1000	Thursday, August 21, 2025	CUST185	PROD221	1	429.51	PayPal
ORD1001	Sunday, August 24, 2025	CUST197	PROD204	4	463.89	Debit Card
ORD1002	Monday, July 21, 2025	CUST172	PROD211	3	495.65	Credit Card
ORD1003	Saturday, February 15, 2025	CUST132	PROD233	3	336.62	Debit Card
ORD1004	Wednesday, August 20, 2025	CUST145	PROD200	3	379.04	PayPal
ORD1005	Tuesday, August 5, 2025	CUST183	PROD202	1	30.8	Debit Card
ORD1006	Monday, May 12, 2025	CUST167	PROD205	1	481.04	Debit Card
ORD1007	Wednesday, March 12, 2025	CUST190	PROD237	1	279.49	Credit Card
ORD1008	Monday, October 13, 2025	CUST131	PROD242	1	140.03	PayPal
ORD1009	Tuesday, December 16, 2025	CUST102	PROD218	4	474.88	PayPal
ORD1010	Wednesday, December 10, 2025	CUST133	PROD215	1	303.38	Credit Card
ORD1011	Monday, November 3, 2025	CUST148	PROD248	1	341.88	Credit Card
ORD1012	Sunday, February 16, 2025	CUST198	PROD206	1	213.83	Debit Card
ORD1013	Tuesday, February 11, 2025	CUST110	PROD242	4	388.85	Credit Card
ORD1014	Monday, October 6, 2025	CUST167	PROD209	1	346.23	Debit Card
ORD1015	Saturday, June 14, 2025	CUST149	PROD242	1	198.12	Credit Card
ORD1016	Friday, May 9, 2025	CUST185	PROD245	1	44.38	Credit Card
ORD1017	Saturday, August 16, 2025	CUST132	PROD241	3	53.22	PayPal
ORD1018	Sunday, February 2, 2025	CUST147	PROD219	3	234.04	Debit Card
ORD1019	Sunday, July 13, 2025	CUST183	PROD230	2	31.58	Credit Card
ORD1020	Thursday, June 12, 2025	CUST150	PROD248	3	175.86	Credit Card
ORD1021	Thursday, November 20, 2025	CUST102	PROD233	4	22.46	Credit Card
ORD1022	Tuesday, February 18, 2025	CUST105	PROD218	3	346.89	PayPal
ORD1023	Monday, April 21, 2025	CUST136	PROD213	1	373.39	Debit Card
ORD1024	Wednesday, April 16, 2025	CUST101	PROD231	1	255.22	Debit Card
ORD1025	Monday, October 27, 2025	CUST181	PROD237	2	215.39	Credit Card
ORD1026	Thursday, August 7, 2025	CUST151	PROD208	4	464.21	Credit Card
ORD1027	Saturday, November 29, 2025	CUST184	PROD200	1	369.18	Debit Card
ORD1028	Saturday, April 26, 2025	CUST112	PROD230	1	330.39	Debit Card
ORD1029	Thursday, December 11, 2025	CUST143	PROD239	1	110.01	PayPal
ORD1030	Friday, November 14, 2025	CUST196	PROD232	3	415.23	Credit Card
ORD1031	Monday, September 22, 2025	CUST151	PROD233	1	443.87	Debit Card
ORD1032	Friday, November 28, 2025	CUST100	PROD221	4	283.86	Credit Card
ORD1033	Tuesday, March 4, 2025	CUST135	PROD224	2	92.73	PayPal
